method,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity
"BetaVAE+DBSCAN (Z_norm, eps=3.0, ms=10)",0.5459952354431152,104.6724624633789,0.5269266775837054,0.05000059367910983,0.04692464409303703,0.24643705463182897
BetaVAE+Agglo (Z_norm),0.33123332262039185,205.94503784179688,3.025632655870429,0.039211038348399334,0.043784506772621974,0.3666864608076009
AE(32)+KMeans,0.2448451817035675,87.07930755615234,3.5949213318733815,0.07704763230980813,0.08511686487500397,0.39815914489311166
Direct_MFCC(40)+KMeans,0.1103011816740036,263.7181701660156,2.109407647737538,0.11768977864837217,0.18751128099499179,0.48485748218527314
BetaVAE+KMeans (Z_norm),0.0652184709906578,244.25970458984375,2.713913173068253,0.29283997970431047,0.26405472056635027,0.5567102137767221
PCA(32)+KMeans,0.03155893832445145,97.16398620605469,4.132266446836226,0.8046770596543131,0.8563688979217755,0.9082541567695962
