method,silhouette,calinski_harabasz,davies_bouldin
Easy_VAE+KMeans,0.07046784460544586,214.43438720703125,2.8198199280210203
Easy_PCA+KMeans,0.11885011941194534,402.1054992675781,2.3752725913273998
